tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
538,2019-08-01 00:03:05.0920,2019-08-01 00:12:03.4350,295.0,Pike St & E Broadway,40.71406667,-73.99293911,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,34108,Customer,1997,1
120,2019-08-01 00:03:06.5470,2019-08-01 00:05:06.6430,3360.0,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,3171.0,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,39311,Subscriber,1985,1
643,2019-08-01 00:03:20.9770,2019-08-01 00:14:04.6920,3734.0,E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,3286.0,E 89 St & 3 Ave,40.7806284,-73.9521667,19132,Subscriber,1978,1
1389,2019-08-01 00:03:22.2340,2019-08-01 00:26:32.1400,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,331.0,Pike St & Monroe St,40.71173107,-73.99193043,32065,Customer,1996,1
371,2019-08-01 00:03:24.0360,2019-08-01 00:09:35.2460,3711.0,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,3737.0,Stanton St & Norfolk St,40.720746999999996,-73.986274,34262,Subscriber,1980,1
1662,2019-08-01 00:03:25.3200,2019-08-01 00:31:07.8320,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,18066,Customer,1969,0
1051,2019-08-01 00:03:27.6090,2019-08-01 00:20:59.1830,460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,350.0,Clinton St & Grand St,40.71559509,-73.9870295,20182,Customer,1969,0
1382,2019-08-01 00:03:27.9000,2019-08-01 00:26:30.3060,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,331.0,Pike St & Monroe St,40.71173107,-73.99193043,30891,Subscriber,1996,1
289,2019-08-01 00:03:27.9680,2019-08-01 00:08:17.2820,3260.0,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,285.0,Broadway & E 14 St,40.73454567,-73.99074142,28334,Subscriber,1992,1
194,2019-08-01 00:03:32.1170,2019-08-01 00:06:46.2950,437.0,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,3241.0,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,39170,Subscriber,1988,1
428,2019-08-01 00:03:37.2320,2019-08-01 00:10:45.4610,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3233.0,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,32950,Customer,1991,1
289,2019-08-01 00:03:42.4600,2019-08-01 00:08:31.9060,3260.0,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,285.0,Broadway & E 14 St,40.73454567,-73.99074142,35025,Customer,1992,1
613,2019-08-01 00:03:54.4710,2019-08-01 00:14:08.4000,3598.0,Newton Rd & 44 St,40.7595701,-73.91426779999999,3575.0,Crescent St & 34 Ave,40.76108,-73.930562,20808,Subscriber,1989,1
424,2019-08-01 00:03:55.8160,2019-08-01 00:11:00.8090,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,394.0,E 9 St & Avenue C,40.72521311,-73.97768752,38375,Subscriber,1995,2
222,2019-08-01 00:03:58.3800,2019-08-01 00:07:41.0560,3507.0,Park Ave & E 124 St,40.8045555,-73.93968609999999,3501.0,E 118 St & Madison Ave,40.801486600000004,-73.9442507,18583,Subscriber,1990,1
278,2019-08-01 00:03:58.5970,2019-08-01 00:08:37.3550,461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,402.0,Broadway & E 22 St,40.740343200000005,-73.98955109,38941,Subscriber,1979,1
498,2019-08-01 00:04:00.2600,2019-08-01 00:12:18.7510,3285.0,W 87 St & Amsterdam Ave,40.78839,-73.9747,3320.0,Central Park West & W 100 St,40.794066608185524,-73.96286845207214,32138,Subscriber,1962,2
1654,2019-08-01 00:04:01.3180,2019-08-01 00:31:35.3980,382.0,University Pl & E 14 St,40.73492695,-73.99200509,3783.0,Cliff St & Fulton St,40.70838,-74.00495,29129,Subscriber,1984,1
482,2019-08-01 00:04:04.2270,2019-08-01 00:12:06.5780,3285.0,W 87 St & Amsterdam Ave,40.78839,-73.9747,3164.0,Columbus Ave & W 72 St,40.7770575,-73.97898475,39543,Subscriber,1955,1
704,2019-08-01 00:04:07.1090,2019-08-01 00:15:51.7570,312.0,Allen St & Stanton St,40.722055,-73.989111,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,30047,Customer,1981,1
775,2019-08-01 00:04:16.8860,2019-08-01 00:17:12.5580,347.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,363.0,West Thames St,40.70834698,-74.01713445,21061,Subscriber,1965,1
414,2019-08-01 00:04:31.2390,2019-08-01 00:11:26.2020,3399.0,7 St & 3 Ave,40.67260298150126,-73.98983001708984,3361.0,Carroll St & 6 Ave,40.6740886,-73.9787282,32119,Subscriber,1959,1
367,2019-08-01 00:04:44.7550,2019-08-01 00:10:52.5980,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3233.0,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,25769,Customer,1998,2
277,2019-08-01 00:04:59.8010,2019-08-01 00:09:37.2220,291.0,Madison St & Montgomery St,40.713126,-73.984844,291.0,Madison St & Montgomery St,40.713126,-73.984844,39268,Subscriber,1978,2
754,2019-08-01 00:05:00.3960,2019-08-01 00:17:34.6150,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,3686.0,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,38754,Subscriber,1951,1
688,2019-08-01 00:05:09.6270,2019-08-01 00:16:38.4130,476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,3733.0,Avenue C & E 18 St,40.730563000000004,-73.973984,32077,Subscriber,1987,1
1133,2019-08-01 00:05:15.6630,2019-08-01 00:24:08.9520,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3285.0,W 87 St & Amsterdam Ave,40.78839,-73.9747,17886,Customer,1999,1
1120,2019-08-01 00:05:24.5360,2019-08-01 00:24:04.6600,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3285.0,W 87 St & Amsterdam Ave,40.78839,-73.9747,38270,Customer,1997,2
243,2019-08-01 00:05:33.9810,2019-08-01 00:09:37.7950,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,25893,Subscriber,1978,1
539,2019-08-01 00:05:48.2590,2019-08-01 00:14:47.7570,3711.0,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,311.0,Norfolk St & Broome St,40.7172274,-73.98802084,28130,Subscriber,1986,1
518,2019-08-01 00:05:51.7130,2019-08-01 00:14:30.0100,3161.0,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,32692,Subscriber,1983,1
